project_name,project_version,agglo_accuracy,bunch_accuracy,algo_choice
havarunner-havarunner,0.9.0,0.7857142857142857,0.5,agglo
havarunner-havarunner,0.9.1,0.7380952380952381,0.47619047619047616,agglo
havarunner-havarunner,0.9.2,0.6904761904761905,0.5476190476190477,agglo
havarunner-havarunner,0.9.3,0.6904761904761905,0.5476190476190477,agglo
havarunner-havarunner,0.9.4,0.6904761904761905,0.5952380952380952,agglo
havarunner-havarunner,0.9.5,0.6904761904761905,0.5714285714285714,agglo
iSoron-uhabits,v1.7.11,0.9465875370919882,0.19584569732937684,agglo
iSoron-uhabits,v1.7.2,0.9495548961424333,0.2937685459940653,agglo
iSoron-uhabits,v1.7.3,0.9436201780415431,0.287833827893175,agglo
iSoron-uhabits,v1.7.4,0.9436201780415431,0.2848664688427299,agglo
iSoron-uhabits,v1.7.5,0.9436201780415431,0.35311572700296734,agglo
iSoron-uhabits,v1.7.6,0.8724035608308606,0.7299703264094956,agglo
iSoron-uhabits,v1.7.8,0.8724035608308606,0.5370919881305638,agglo
iSoron-uhabits,v1.7.9,0.8783382789317508,0.7032640949554896,agglo
iSoron-uhabits,v1.8.7,0.9020771513353116,0.49258160237388726,agglo
iSoron-uhabits,v1.8.8,0.8991097922848664,0.5222551928783383,agglo
immutables-immutables,immutables-2.6.0.alpha0,0.8356741573033708,0.7148876404494382,agglo
immutables-immutables,immutables-2.6.1,0.848314606741573,0.6474719101123596,agglo
immutables-immutables,immutables-2.6.2,0.848314606741573,0.6460674157303371,agglo
immutables-immutables,immutables-2.6.3,0.8469101123595506,0.6320224719101124,agglo
immutables-immutables,immutables-2.7.0,0.8384831460674157,0.577247191011236,agglo
immutables-immutables,immutables-2.7.1,0.8384831460674157,0.5688202247191011,agglo
immutables-immutables,immutables-2.7.2,0.8258426966292135,0.651685393258427,agglo
immutables-immutables,immutables-2.7.3,0.8188202247191011,0.6629213483146068,agglo
immutables-immutables,immutables-2.7.4,0.8342696629213483,0.627808988764045,agglo
immutables-immutables,immutables-2.7.5,0.8314606741573034,0.5688202247191011,agglo
ionic-team-capacitor,1.0.0-beta.9,0.8902439024390244,0.6829268292682926,agglo
ionic-team-capacitor,1.1.0,0.8780487804878049,0.5365853658536586,agglo
ionic-team-capacitor,1.1.1,0.8780487804878049,0.6097560975609756,agglo
ionic-team-capacitor,1.2.0,0.8780487804878049,0.6585365853658536,agglo
ionic-team-capacitor,1.2.1,0.8780487804878049,0.6219512195121951,agglo
ionic-team-capacitor,1.3.0,0.8780487804878049,0.6463414634146342,agglo
ionic-team-capacitor,1.4.0,0.8780487804878049,0.6219512195121951,agglo
ionic-team-capacitor,1.5.0,0.8780487804878049,0.6463414634146342,agglo
ionic-team-capacitor,1.5.1,0.8780487804878049,0.7195121951219512,agglo
ionic-team-capacitor,1.5.2,0.8780487804878049,0.5609756097560976,agglo
jankotek-mapdb,mapdb-3.0.0-beta4,0.961038961038961,0.36363636363636365,agglo
jankotek-mapdb,mapdb-3.0.0-beta5,0.9285714285714286,0.7597402597402597,agglo
jankotek-mapdb,mapdb-3.0.1,0.935064935064935,0.7597402597402597,agglo
jankotek-mapdb,mapdb-3.0.2,0.9285714285714286,0.7337662337662338,agglo
jankotek-mapdb,mapdb-3.0.3,0.9285714285714286,0.7532467532467533,agglo
jankotek-mapdb,mapdb-3.0.4,0.9285714285714286,0.7077922077922079,agglo
jankotek-mapdb,mapdb-3.0.5,0.9285714285714286,0.6428571428571428,agglo
jankotek-mapdb,mapdb-3.0.6,0.9285714285714286,0.6883116883116883,agglo
jankotek-mapdb,mapdb-3.0.7,0.935064935064935,0.6688311688311688,agglo
jankotek-mapdb,mapdb-3.0.8,0.922077922077922,0.7077922077922079,agglo
java-native-accessjna,3.5.1,0.9186991869918699,-0.05691056910569103,agglo
java-native-accessjna,3.5.2,0.926829268292683,-0.1869918699186992,agglo
javafunk-funk,funk-0.1.24,0.9589552238805971,0.32089552238805974,agglo
javafunk-funk,funk-0.1.25,0.9589552238805971,0.26119402985074625,agglo
javafunk-funk,funk-0.1.3,0.9552238805970149,0.835820895522388,agglo
javafunk-funk,funk-0.1.4,0.9589552238805971,0.8097014925373134,agglo
javafunk-funk,funk-0.1.5,0.9589552238805971,0.8283582089552239,agglo
javafunk-funk,funk-0.1.6,0.9589552238805971,0.7873134328358209,agglo
javafunk-funk,funk-0.1.7,0.9328358208955224,0.6231343283582089,agglo
javafunk-funk,funk-0.1.8,0.8917910447761194,0.708955223880597,agglo
javafunk-funk,funk-0.1.9,0.8992537313432836,0.664179104477612,agglo
javafunk-funk,funk-0.2.0,0.9626865671641791,0.3619402985074627,agglo
javaparser-javaparser,javaparser-parent-3.6.9,0.8606856309263311,0.3610503282275711,agglo
javaparser-javaparser,javaparser-parent-3.7.0,0.8606856309263311,0.34719183078045224,agglo
javaparser-javaparser,javaparser-parent-3.7.1,0.8599562363238512,0.5193289569657185,agglo
javaparser-javaparser,javaparser-parent-3.8.0,0.8570386579139314,0.4142961342086069,agglo
javaparser-javaparser,javaparser-parent-3.8.1,0.8592268417213713,0.47337709700948216,agglo
javaparser-javaparser,javaparser-parent-3.8.2,0.8584974471188913,0.42815463165572576,agglo
javaparser-javaparser,javaparser-parent-3.8.3,0.8584974471188913,0.2654996353026987,agglo
javaparser-javaparser,javaparser-parent-3.9.0,0.8584974471188913,0.33770970094821295,agglo
javaparser-javaparser,javaparser-parent-3.9.1,0.8519328956965718,0.28884026258205686,agglo
javaparser-javaparser,v3.13.10,0.8599562363238512,0.2822757111597374,agglo
jboss-switchyard-release,1.1.1-p2,0.9341317365269461,0.4850299401197605,agglo
