project_name,project_link,version_name,commit,timestamp
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.4.6,"Commit(sha=""4000c366dde5b77254856c61d48e3dc4f0bae812"")",20/1/2021 16:47
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.4.5,"Commit(sha=""cfed8d8474a9a613018a363fe62d80bef1a26e02"")",20/11/2020 15:14
AxonFramework,https://github.com/AxonFramework/AxonFramework,axon-4.4.4,"Commit(sha=""71ec26496b641952ae9d7f5b8fcf5e1bd30ae78a"")",11/11/2020 14:03
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.12,"Commit(sha=""ec813ad1a02b1b58154d5df9389ecaa786041d6c"")",5/8/2021 22:23
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.11,"Commit(sha=""05cd0a9c4a7da9d04eaf2773add5d17126f8e879"")",5/8/2021 19:16
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.10,"Commit(sha=""d38fade6736cda55b337c7f3058c29b560ba9de6"")",4/8/2021 19:28
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.9,"Commit(sha=""52bfa03a9fdf85e1c051f41468872a8f2c29dcaf"")",27/7/2021 18:58
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.8,"Commit(sha=""ff69a57112d8ab06c18b1b2f87e8a9c714d80176"")",15/7/2021 20:25
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.7,"Commit(sha=""75e2bb83f5f797d5cedf3fbd18a3aa8e1dff1061"")",14/7/2021 19:32
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.6,"Commit(sha=""c51396ba504c0a7397d912f8e621d060bc360483"")",2/7/2021 21:09
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.5,"Commit(sha=""f1342d1b361b812bb1f88edb98344ed6a340b8e0"")",19/6/2021 21:58
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.4,"Commit(sha=""83848dfc9f8393177994a55bc8d4eb6ad6a29194"")",19/6/2021 21:31
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.3,"Commit(sha=""9d825c14afe388f82f31624c477e7708e6b8a1e6"")",18/6/2021 7:47
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.2,"Commit(sha=""99174cd1d179734133abc31a7a28fcbfc456ea78"")",10/6/2021 22:47
Byte-buddy,https://github.com/raphw/byte-buddy,byte-buddy-1.11.1,"Commit(sha=""5284857bb5d30b6c77588619c47c88713bd5828b"")",1/6/2021 19:18
Cas,https://github.com/apereo/cas,v6.4.0-RC6,"Commit(sha=""4c103496d9ccb1ac8dfdd7227ceeb7596e1b9d03"")",16/7/2021 7:06
Cas,https://github.com/apereo/cas,v6.4.0-RC5,"Commit(sha=""ce5ad4a7390d5666e71730e987bd5636ea0fdc71"")",12/6/2021 11:22
Cas,https://github.com/apereo/cas,v6.4.0-RC4,"Commit(sha=""da5c61b50bf011607da1a597c3ba677bab6b35c9"")",9/5/2021 8:52
Cas,https://github.com/apereo/cas,v6.4.0-RC3,"Commit(sha=""a3a0d5e84f53959c986cbb78d92045966cfee0c4"")",4/4/2021 5:55
Cas,https://github.com/apereo/cas,v6.4.0-RC2,"Commit(sha=""97a5e87ef4786b541172f8e4e082991f8174986b"")",5/3/2021 8:48
Cas,https://github.com/apereo/cas,v6.4.0-RC1,"Commit(sha=""a523ec42dc94497c91ef25ebd4c20f6d7b64fdba"")",30/1/2021 13:14
Cas,https://github.com/apereo/cas,v6.3.6,"Commit(sha=""9dee20b9861f7bd7f50bf27113bf5b5514847376"")",30/7/2021 12:16
Cas,https://github.com/apereo/cas,v6.3.5,"Commit(sha=""771568662d4df0ba9825eb6bb1ae53b9cfff4d28"")",18/6/2021 7:40
Cas,https://github.com/apereo/cas,v6.3.4,"Commit(sha=""641bbcc09725fd5c769f692f18636df06b96247b"")",30/4/2021 10:58
Cas,https://github.com/apereo/cas,v6.3.3,"Commit(sha=""b0cb2579a66be9793cd942b2716f15d0acd1e9e4"")",26/3/2021 9:09
Cas,https://github.com/apereo/cas,v6.3.2,"Commit(sha=""24c4ac619486f566a48efd72f19ab20e457c254e"")",13/2/2021 15:25
Cas,https://github.com/apereo/cas,v6.3.1,"Commit(sha=""d90b7746192e22fcc264bcdcf97477265f125c12"")",30/1/2021 8:34
karaf,https://github.com/apache/karaf,karaf-4.3.2,"Commit(sha=""aeb61114a0ce221ed977828f56469107f7167ba5"")",8/5/2021 16:12
karaf,https://github.com/apache/karaf,karaf-4.3.1,"Commit(sha=""077af6a52b9661e80b2c7edd987f17bfcc6160ec"")",29/3/2021 10:18
karaf,https://github.com/apache/karaf,karaf-4.3.0,"Commit(sha=""65bd88e8149ba6e013665a238dfa32b92465f1c4"")",26/10/2020 10:31
karaf,https://github.com/apache/karaf,karaf-4.3.0.RC1,"Commit(sha=""ce86fefbefcf85af505018821900b0f30ca03437"")",27/1/2020 9:04
karaf,https://github.com/apache/karaf,karaf-4.2.11,"Commit(sha=""863b43f098a2522f9f3690227792dcd7b50b274c"")",9/3/2021 7:35
karaf,https://github.com/apache/karaf,karaf-4.2.10,"Commit(sha=""79c4f364b107c653302e7a9755eeaffa04cd712d"")",6/10/2020 15:09
karaf,https://github.com/apache/karaf,karaf-4.2.9,"Commit(sha=""b6fec8f201c851c19d7fb79e6c35452c1c722f53"")",5/6/2020 6:15
karaf,https://github.com/apache/karaf,karaf-4.2.8,"Commit(sha=""262343a5f60b29967a3c72a198f6427b5a6bf5e9"")",19/1/2020 16:55
karaf,https://github.com/apache/karaf,karaf-4.2.7,"Commit(sha=""e4402eeb1c2c4fd4d18b59617945e49ad83cb313"")",23/9/2019 12:58
karaf,https://github.com/apache/karaf,karaf-4.2.6,"Commit(sha=""c5fd213e4782a892fd841515f1f06d4f4b090919"")",7/6/2019 7:11
karaf,https://github.com/apache/karaf,karaf-4.2.5,"Commit(sha=""f8c224771dcd1f0122dc02bf9367ec13c307a9c3"")",17/4/2019 14:23
karaf,https://github.com/apache/karaf,karaf-4.2.4,"Commit(sha=""d32d918adbcace1d9ed68de52ebee235e19c4722"")",14/3/2019 7:34
Storm,https://github.com/apache/storm,v2.2.0,"Commit(sha=""bf1986345de5de605abb4fc7b6051fce762bbca5"")",18/6/2020 16:11
Storm,https://github.com/apache/storm,v2.1.0,"Commit(sha=""79fc9b3e6aeec623b42d165536a936d28f2b12f1"")",25/10/2019 16:40
Storm,https://github.com/apache/storm,v2.0.0,"Commit(sha=""2ba95bbd1c911d4fc6363b1c4b9c4c6d86ac9aae"")",29/4/2019 17:21
Storm,https://github.com/apache/storm,v1.2.3,"Commit(sha=""4e162a47c8219546ab9639401363a8f1b5e51119"")",4/5/2019 22:37
Storm,https://github.com/apache/storm,v1.2.2,"Commit(sha=""d2d6f40344e6cc92ab07f3a462d577ef6b61f8b1"")",17/5/2018 19:01
Storm,https://github.com/apache/storm,v1.2.1,"Commit(sha=""d156d25d991311eaa1f5131d3dc34787f87ce684"")",16/2/2018 20:18
Storm,https://github.com/apache/storm,v1.2.0,"Commit(sha=""2a0097f9a20b9df494caadb87c87d4e4db01a7ed"")",7/2/2018 21:23
Storm,https://github.com/apache/storm,v1.1.4,"Commit(sha=""babab9648a6deb3d444c45bdd6d0ec30804e91f1"")",8/1/2019 20:37
Storm,https://github.com/apache/storm,v1.1.3,"Commit(sha=""c51c8fc251856291597a5007a07e433f26951464"")",17/5/2018 20:23
Storm,https://github.com/apache/storm,v1.1.2,"Commit(sha=""0bb7a66a9b26ad96afc81b27dd45f93ae8969c44"")",8/2/2018 16:57
Storm,https://github.com/apache/storm,v1.1.1,"Commit(sha=""41bfea87b1a002565333bd18a06d766af1ca3816"")",27/7/2017 17:17
Storm,https://github.com/apache/storm,v1.1.0,"Commit(sha=""e40d213de7067f7d3aa4d4992b81890d8ed6ff31"")",21/3/2017 16:55
Spring-framework,https://github.com/spring-projects/spring-framework,v5.3.9,"Commit(sha=""f9b6e94e002d981991281721d76dfa23f0118b07"")",14/7/2021 6:36
Spring-framework,https://github.com/spring-projects/spring-framework,v5.3.8,"Commit(sha=""d51d8aeaf61852de49a68a761f01cffdfafebef3"")",9/6/2021 7:38
Spring-framework,https://github.com/spring-projects/spring-framework,v5.3.7,"Commit(sha=""b1280ffeaaa3d666606fbe92f34219303fa5bbd7"")",12/5/2021 5:38
Spring-framework,https://github.com/spring-projects/spring-framework,v5.3.6,"Commit(sha=""83c6d100950221189d5d6001d3b2e806213f3a98"")",13/4/2021 11:08
